Part,Value,Package,Library,Position (mil),Orientation
C1,C1N_0805,0805,_DE,(79.39999 17.39999),R90
C2,C1N_0805,0805,_DE,(318.60000 5.59999),R270
CON1,CON_2P_POKE_2060_452,CON_2P_POKE_2060_452,_DE,(7.53301 18.39999),R270
CON2,CON_2P_POKE_2060_452,CON_2P_POKE_2060_452,_DE,(7.53301 4.59999),R270
CON3,CON_2P_POKE_2060_452,CON_2P_POKE_2060_452,_DE,(390.46701 18.39999),R90
CON4,CON_2P_POKE_2060_452,CON_2P_POKE_2060_452,_DE,(390.46701 4.59999),R90
D1,TVS_40V_UNI_SMB,SMB,_DE,(31.39999 4.19999),R270
D2,TVS_40V_UNI_SMB,SMB,_DE,(76.00000 18.19999),R90
D3,DIODE_400V_1A_FAST_SMA,SMA,_DE,(347.59999 7.00001),R180
D4,SHUNT_ADJ_SOT23_5L,SOT23-5L,_DE,(86.00001 17.99999),R270
D5,SHUNT_ADJ_SOT23_5L,SOT23-5L,_DE,(167.00000 17.99999),R270
D6,SHUNT_ADJ_SOT23_5L,SOT23-5L,_DE,(268.00000 17.99999),R90
D7,ZENER_10V_SOD323,SOD323,_DE,(281.00000 18.99999),R270
D8,ZENER_10V_SOD323,SOD323,_DE,(287.00001 18.99999),R270
D9,SHUNT_ADJ_SOT23_5L,SOT23-5L,_DE,(350.00001 17.99999),R90
D10,TVS_40V_UNI_SOD123,SOD123,_DE,(357.00000 20.20001),R180
D11,TVS_40V_UNI_SOD123,SOD123,_DE,(357.00000 17.59999),R180
D12,TVS_40V_UNI_SOD123,SOD123,_DE,(40.60000 5.39999),R0
D13,TVS_40V_UNI_SOD123,SOD123,_DE,(40.60000 2.79999),R0
D14,SHUNT_ADJ_SOT23_5L,SOT23-5L,_DE,(48.00001 4.99999),R270
D15,ZENER_10V_SOD323,SOD323,_DE,(111.00001 3.99999),R90
D16,ZENER_10V_SOD323,SOD323,_DE,(116.99999 3.99999),R90
D17,SHUNT_ADJ_SOT23_5L,SOT23-5L,_DE,(129.99999 4.99999),R270
D18,SHUNT_ADJ_SOT23_5L,SOT23-5L,_DE,(231.00000 4.99999),R90
D19,SHUNT_ADJ_SOT23_5L,SOT23-5L,_DE,(312.00001 4.99999),R90
D20,TVS_40V_UNI_SMB,SMB,_DE,(36.00000 4.19999),R270
D21,TVS_40V_UNI_SMB,SMB,_DE,(321.99999 4.79999),R270
D22,TVS_40V_UNI_SMB,SMB,_DE,(366.20000 18.79999),R90
D23,TVS_170V_UNI_SMB,SMB,_DE,(353.60000 4.19999),R270
D24,TVS_40V_UNI_SMB,SMB,_DE,(361.59999 18.79999),R90
D25,ZENER_10V_SOD323,SOD323,_DE,(106.19999 7.00001),R180
D26,ZENER_10V_SOD323,SOD323,_DE,(291.80000 15.99999),R0
D27,DIODE_400V_1A_FAST_SMA,SMA,_DE,(50.40000 15.99999),R0
D28,TVS_170V_UNI_SMB,SMB,_DE,(44.39999 18.79999),R90
D29,TVS_170V_UNI_SMB,SMB,_DE,(50.40000 20.00001),R0
D30,ZENER_36V_SOD123,SOD123,_DE,(60.20001 19.80001),R90
D31,ZENER_10V_SOD323,SOD323,_DE,(59.40001 16.19999),R180
D32,TVS_170V_UNI_SMB,SMB,_DE,(39.80000 18.79999),R90
D34,TVS_170V_UNI_SMB,SMB,_DE,(347.59999 2.99999),R180
D35,ZENER_10V_SOD323,SOD323,_DE,(338.60001 6.80001),R0
D36,ZENER_36V_SOD123,SOD123,_DE,(337.80001 3.19999),R270
D37,TVS_170V_UNI_SMB,SMB,_DE,(358.20000 4.19999),R270
FD1,FIDUCIAL_1MM,FIDUCIAL_1MM,_DE,(370.00000 2.00000),R0
