Partlist

Exported from DE_36_18v_9NL_24VDC_398x23.brd at 20-12-2017 21:47:01

EAGLE Version 5.11.0 Copyright (c) 1988-2010 CadSoft

Part     Value                         Package              Library  Position (mil)        Orientation

C1       1NF_0805                      0805                 _DE      (3125.984 685.039)    R90
C2       1NF_0805                      0805                 _DE      (12543.307 220.472)   R270
CON1     CON_2P_POKE_2060_452          CON_2P_POKE_2060_452 _DE      (296.575 724.409)     R270
CON2     CON_2P_POKE_2060_452          CON_2P_POKE_2060_452 _DE      (296.575 181.102)     R270
CON3     CON_2P_POKE_2060_452          CON_2P_POKE_2060_452 _DE      (15372.717 724.409)   R90
CON4     CON_2P_POKE_2060_452          CON_2P_POKE_2060_452 _DE      (15372.717 181.102)   R90
D1       TVS_40V_UNI_SMB               SMB                  _DE      (1236.22 165.354)     R270
D2       TVS_40V_UNI_SMB               SMB                  _DE      (2992.126 716.535)    R90
D3       DIODE_400V_1A_FAST_SMA        SMA                  _DE      (13685.039 275.591)   R180
D4       SHUNT_ADJ_SOT23_5L            SOT23-5L             _DE      (3385.827 708.661)    R270
D5       SHUNT_ADJ_SOT23_5L            SOT23-5L             _DE      (6574.803 708.661)    R270
D6       SHUNT_ADJ_SOT23_5L            SOT23-5L             _DE      (10551.181 708.661)   R90
D7       ZENER_10V_SOD323              SOD323               _DE      (11062.992 748.031)   R270
D8       ZENER_10V_SOD323              SOD323               _DE      (11299.213 748.031)   R270
D9       SHUNT_ADJ_SOT23_5L            SOT23-5L             _DE      (13779.528 708.661)   R90
D10      TVS_40V_UNI_SOD123            SOD123               _DE      (14055.118 795.276)   R180
D11      TVS_40V_UNI_SOD123            SOD123               _DE      (14055.118 692.913)   R180
D12      TVS_40V_UNI_SOD123            SOD123               _DE      (1598.425 212.598)    R0
D13      TVS_40V_UNI_SOD123            SOD123               _DE      (1598.425 110.236)    R0
D14      SHUNT_ADJ_SOT23_5L            SOT23-5L             _DE      (1889.764 196.85)     R270
D15      ZENER_10V_SOD323              SOD323               _DE      (4370.079 157.48)     R90
D16      ZENER_10V_SOD323              SOD323               _DE      (4606.299 157.48)     R90
D17      SHUNT_ADJ_SOT23_5L            SOT23-5L             _DE      (5118.11 196.85)      R270
D18      SHUNT_ADJ_SOT23_5L            SOT23-5L             _DE      (9094.488 196.85)     R90
D19      SHUNT_ADJ_SOT23_5L            SOT23-5L             _DE      (12283.465 196.85)    R90
D20      TVS_40V_UNI_SMB               SMB                  _DE      (1417.323 165.354)    R270
D21      TVS_40V_UNI_SMB               SMB                  _DE      (12677.165 188.976)   R270
D22      TVS_40V_UNI_SMB               SMB                  _DE      (14417.323 740.157)   R90
D23      TVS_170V_UNI_SMB              SMB                  _DE      (13921.26 165.354)    R270
D24      TVS_40V_UNI_SMB               SMB                  _DE      (14236.22 740.157)    R90
D25      ZENER_10V_SOD323              SOD323               _DE      (4181.102 275.591)    R180
D26      ZENER_10V_SOD323              SOD323               _DE      (11488.189 629.921)   R0
D27      DIODE_400V_1A_FAST_SMA        SMA                  _DE      (1984.252 629.921)    R0
D28      TVS_170V_UNI_SMB              SMB                  _DE      (1748.031 740.157)    R90
D29      TVS_170V_UNI_SMB              SMB                  _DE      (1984.252 787.402)    R0
D30      ZENER_36V_SOD123              SOD123               _DE      (2370.079 779.528)    R90
D31      ZENER_10V_SOD323              SOD323               _DE      (2338.583 637.795)    R180
D32      TVS_170V_UNI_SMB              SMB                  _DE      (1566.929 740.157)    R90
D34      TVS_170V_UNI_SMB              SMB                  _DE      (13685.039 118.11)    R180
D35      ZENER_10V_SOD323              SOD323               _DE      (13330.709 267.717)   R0
D36      ZENER_36V_SOD123              SOD123               _DE      (13299.213 125.984)   R270
D37      TVS_170V_UNI_SMB              SMB                  _DE      (14102.362 165.354)   R270
FD1      FIDUCIAL_1MM                  FIDUCIAL_1MM         _DE      (14566.929 78.74)     R0
FD2      FIDUCIAL_1MM                  FIDUCIAL_1MM         _DE      (1102.362 629.921)    R0
LD1      LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (179.354 452.756)     R0
LD2      LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (616.799 452.756)     R0
LD3      LED_BLUE_3AN_PLCC4_SMALL_PAD  LED_PLCC4_SMALL_PAD  _DE      (816.819 452.756)     R0
LD4      LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (1054.244 452.756)    R0
LD5      LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (1491.689 452.756)    R0
LD6      LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (1929.134 452.756)    R0
LD7      LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (2366.579 452.756)    R0
LD8      LED_BLUE_3AN_PLCC4_SMALL_PAD  LED_PLCC4_SMALL_PAD  _DE      (2566.602 452.756)    R0
LD9      LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (2804.024 452.756)    R0
LD10     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (3241.469 452.756)    R0
LD11     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (3678.913 452.756)    R0
LD12     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (4116.362 452.756)    R0
LD13     LED_BLUE_3AN_PLCC4_SMALL_PAD  LED_PLCC4_SMALL_PAD  _DE      (4316.382 452.756)    R0
LD14     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (4553.807 452.756)    R0
LD15     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (4991.252 452.756)    R0
LD16     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (5428.697 452.756)    R0
LD17     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (5866.142 452.756)    R0
LD18     LED_BLUE_3AN_PLCC4_SMALL_PAD  LED_PLCC4_SMALL_PAD  _DE      (6066.165 452.756)    R0
LD19     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (6303.587 452.756)    R0
LD20     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (6741.031 452.756)    R0
