Partlist

Exported from DE_36_18v_9NL_24VDC_398x23.brd at 12-2-2018 12:52:40

EAGLE Version 5.11.0 Copyright (c) 1988-2010 CadSoft

Part     Value                         Package              Library  Position (mm)         Orientation

C1       1NF_0805                      0805                 _DE      (79.4 17.4)           R90
C2       1NF_0805                      0805                 _DE      (318.6 5.6)           R270
CON1     CON_2P_POKE_2060_452          CON_2P_POKE_2060_452 _DE      (7.533 18.4)          R270
CON2     CON_2P_POKE_2060_452          CON_2P_POKE_2060_452 _DE      (7.533 4.6)           R270
CON3     CON_2P_POKE_2060_452          CON_2P_POKE_2060_452 _DE      (390.467 18.4)        R90
CON4     CON_2P_POKE_2060_452          CON_2P_POKE_2060_452 _DE      (390.467 4.6)         R90
D1       TVS_40V_UNI_SMB               SMB                  _DE      (31.4 4.2)            R270
D2       TVS_40V_UNI_SMB               SMB                  _DE      (76 18.2)             R90
D3       DIODE_400V_1A_FAST_SMA        SMA                  _DE      (347.6 7)             R180
D4       SHUNT_ADJ_SOT23_5L            SOT23-5L             _DE      (86 18)               R270
D5       SHUNT_ADJ_SOT23_5L            SOT23-5L             _DE      (167 18)              R270
D6       SHUNT_ADJ_SOT23_5L            SOT23-5L             _DE      (268 18)              R90
D7       ZENER_10V_SOD323              SOD323               _DE      (281 19)              R270
D8       ZENER_10V_SOD323              SOD323               _DE      (287 19)              R270
D9       SHUNT_ADJ_SOT23_5L            SOT23-5L             _DE      (350 18)              R90
D10      TVS_40V_UNI_SOD123            SOD123               _DE      (357 20.2)            R180
D11      TVS_40V_UNI_SOD123            SOD123               _DE      (357 17.6)            R180
D12      TVS_40V_UNI_SOD123            SOD123               _DE      (40.6 5.4)            R0
D13      TVS_40V_UNI_SOD123            SOD123               _DE      (40.6 2.8)            R0
D14      SHUNT_ADJ_SOT23_5L            SOT23-5L             _DE      (48 5)                R270
D15      ZENER_10V_SOD323              SOD323               _DE      (111 4)               R90
D16      ZENER_10V_SOD323              SOD323               _DE      (117 4)               R90
D17      SHUNT_ADJ_SOT23_5L            SOT23-5L             _DE      (130 5)               R270
D18      SHUNT_ADJ_SOT23_5L            SOT23-5L             _DE      (231 5)               R90
D19      SHUNT_ADJ_SOT23_5L            SOT23-5L             _DE      (312 5)               R90
D20      TVS_40V_UNI_SMB               SMB                  _DE      (36 4.2)              R270
D21      TVS_40V_UNI_SMB               SMB                  _DE      (322 4.8)             R270
D22      TVS_40V_UNI_SMB               SMB                  _DE      (366.2 18.8)          R90
D23      TVS_170V_UNI_SMB              SMB                  _DE      (353.6 4.2)           R270
D24      TVS_40V_UNI_SMB               SMB                  _DE      (361.6 18.8)          R90
D25      ZENER_10V_SOD323              SOD323               _DE      (106.2 7)             R180
D26      ZENER_10V_SOD323              SOD323               _DE      (291.8 16)            R0
D27      DIODE_400V_1A_FAST_SMA        SMA                  _DE      (50.4 16)             R0
D28      TVS_170V_UNI_SMB              SMB                  _DE      (44.4 18.8)           R90
D29      TVS_170V_UNI_SMB              SMB                  _DE      (50.4 20)             R0
D30      ZENER_36V_SOD123              SOD123               _DE      (60.2 19.8)           R90
D31      ZENER_10V_SOD323              SOD323               _DE      (59.4 16.2)           R180
D32      TVS_170V_UNI_SMB              SMB                  _DE      (39.8 18.8)           R90
D34      TVS_170V_UNI_SMB              SMB                  _DE      (347.6 3)             R180
D35      ZENER_10V_SOD323              SOD323               _DE      (338.6 6.8)           R0
D36      ZENER_36V_SOD123              SOD123               _DE      (337.8 3.2)           R270
D37      TVS_170V_UNI_SMB              SMB                  _DE      (358.2 4.2)           R270
FD1      FIDUCIAL_1MM                  FIDUCIAL_1MM         _DE      (370 2)               R0
FD2      FIDUCIAL_1MM                  FIDUCIAL_1MM         _DE      (28 16)               R0
LD1      LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (4.5556 11.5)         R0
LD2      LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (15.6667 11.5)        R0
LD3      LED_BLUE_3AN_PLCC4_SMALL_PAD  LED_PLCC4_SMALL_PAD  _DE      (20.7472 11.5)        R0
LD4      LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (26.7778 11.5)        R0
LD5      LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (37.8889 11.5)        R0
LD6      LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (49 11.5)             R0
LD7      LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (60.1111 11.5)        R0
LD8      LED_BLUE_3AN_PLCC4_SMALL_PAD  LED_PLCC4_SMALL_PAD  _DE      (65.1917 11.5)        R0
LD9      LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (71.2222 11.5)        R0
LD10     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (82.3333 11.5)        R0
LD11     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (93.4444 11.5)        R0
LD12     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (104.5556 11.5)       R0
LD13     LED_BLUE_3AN_PLCC4_SMALL_PAD  LED_PLCC4_SMALL_PAD  _DE      (109.6361 11.5)       R0
LD14     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (115.6667 11.5)       R0
LD15     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (126.7778 11.5)       R0
LD16     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (137.8889 11.5)       R0
LD17     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (149 11.5)            R0
LD18     LED_BLUE_3AN_PLCC4_SMALL_PAD  LED_PLCC4_SMALL_PAD  _DE      (154.0806 11.5)       R0
LD19     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (160.1111 11.5)       R0
LD20     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (171.2222 11.5)       R0
LD21     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (182.3333 11.5)       R0
LD22     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (193.4444 11.5)       R0
LD23     LED_BLUE_3AN_PLCC4_SMALL_PAD  LED_PLCC4_SMALL_PAD  _DE      (198.525 11.5)        R0
LD24     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (204.5556 11.5)       R0
LD25     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (215.6667 11.5)       R0
LD26     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (226.7778 11.5)       R0
LD27     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (237.8889 11.5)       R0
LD28     LED_BLUE_3AN_PLCC4_SMALL_PAD  LED_PLCC4_SMALL_PAD  _DE      (242.9694 11.5)       R0
LD29     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (249 11.5)            R0
LD30     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (260.1111 11.5)       R0
LD31     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (271.2222 11.5)       R0
LD32     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (282.3333 11.5)       R0
LD33     LED_BLUE_3AN_PLCC4_SMALL_PAD  LED_PLCC4_SMALL_PAD  _DE      (287.4139 11.5)       R0
