Designator Footprint          Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment   

IC2        SOT-223      1565.484mil   2145.072mil       1565mil       2145mil   1475.484mil   2025.072mil  T        360.00 MCP1754ST_sot-223
R54        1206          2752.76mil   2349.992mil       2685mil       2350mil    2685.26mil   2349.992mil  T          0.00 R3k3_1206       
T11        SOT-23           3890mil   1284.999mil       3890mil       1285mil       3850mil     1322.5mil  T        270.00 PDTC114YT 
R13        0805             3930mil       1095mil       3930mil       1095mil       3930mil   1144.213mil  T        270.00 R4k7_0805       
T46        SOT-23           3670mil   1475.001mil       3670mil       1475mil       3710mil     1437.5mil  T         90.00 BC847     
T45        SOT-23           3210mil   2209.999mil       3210mil       2210mil       3170mil     2247.5mil  T        270.00 PDTC114YT 
T44        SOT-23           3210mil   2069.999mil       3210mil       2070mil       3170mil     2107.5mil  T        270.00 PDTC114YT 
T43        SOT-23           3210mil   1929.999mil       3210mil       1930mil       3170mil     1967.5mil  T        270.00 PDTC114YT 
T42        SOT-23           3210mil   1784.999mil       3210mil       1785mil       3170mil     1822.5mil  T        270.00 PDTC114YT 
T41        SOT-23           3210mil   2349.999mil       3210mil       2350mil       3170mil     2387.5mil  T        270.00 PDTC114YT 
T25        SOT-23           2540mil   1480.001mil       2540mil       1480mil       2580mil     1442.5mil  T         90.00 BC847     
T24        SOT-23           2080mil   2209.999mil       2080mil       2210mil       2040mil     2247.5mil  T        270.00 PDTC114YT 
T23        SOT-23           2080mil   2064.999mil       2080mil       2065mil       2040mil     2102.5mil  T        270.00 PDTC114YT 
T22        SOT-23           2080mil   1919.999mil       2080mil       1920mil       2040mil     1957.5mil  T        270.00 PDTC114YT 
T21        SOT-23           2080mil   1779.999mil       2080mil       1780mil       2040mil     1817.5mil  T        270.00 PDTC114YT 
R53        1206         3760.008mil    1112.76mil       3760mil       1045mil   3760.008mil    1045.26mil  T         90.00 R1k5_1206       
R52        0805             3640mil       1285mil       3640mil       1285mil       3640mil   1235.787mil  T         90.00 R4k7_0805       
R51        0805             3540mil       1095mil       3540mil       1095mil       3540mil   1045.787mil  T         90.00 R47k_0805       
R50        0805             3440mil       1095mil       3440mil       1095mil       3440mil   1045.787mil  T         90.00 R12k_0805       
R49        0805             3440mil       1695mil       3440mil       1695mil   3489.213mil       1695mil  T        180.00 R4k7_0805       
R48        0805             3390mil       2210mil       3390mil       2210mil   3340.787mil       2210mil  T          0.00 R2k_0805        
R47        0805             3390mil       2070mil       3390mil       2070mil   3340.787mil       2070mil  T          0.00 R680e_0805      
R46        0805             3390mil       1930mil       3390mil       1930mil   3340.787mil       1930mil  T          0.00 R470e_0805      
R45        0805             3390mil       1780mil       3390mil       1780mil   3340.787mil       1780mil  T          0.00 R220e_0805      
R44        0805             3580mil       2000mil       3580mil       2000mil   3530.787mil       2000mil  T          0.00 R4k7_0805       
R43        0805             2740mil       1095mil       2740mil       1095mil       2740mil   1144.213mil  T        270.00 R4k7_0805       
R42        0805             3190mil       1095mil       3190mil       1095mil       3190mil   1144.213mil  T        270.00 R4k7_0805       
R41        0805             3290mil       1095mil       3290mil       1095mil       3290mil   1144.213mil  T        270.00 R4k7_0805       
R34        1206         2625.008mil    1112.76mil       2625mil       1045mil   2625.008mil    1045.26mil  T         90.00 R1k5_1206       
R33        0805             2510mil       1285mil       2510mil       1285mil       2510mil   1235.787mil  T         90.00 R4k7_0805       
R32        0805             2410mil       1095mil       2410mil       1095mil       2410mil   1045.787mil  T         90.00 R47k_0805       
R31        0805             2310mil       1095mil       2310mil       1095mil       2310mil   1045.787mil  T         90.00 R12k_0805       
R30        0805             2310mil       1695mil       2310mil       1695mil   2359.213mil       1695mil  T        180.00 R4k7_0805       
R29        0805             2260mil       2210mil       2260mil       2210mil   2210.787mil       2210mil  T          0.00 R910e_0805      
R28        0805             2260mil       2065mil       2260mil       2065mil   2210.787mil       2065mil  T          0.00 R750e_0805      
R27        0805             2260mil       1920mil       2260mil       1920mil   2210.787mil       1920mil  T          0.00 R620e_0805      
R26        0805             2260mil       1780mil       2260mil       1780mil   2210.787mil       1780mil  T          0.00 R510e_0805      
R25        0805             2450mil       1990mil       2450mil       1990mil   2400.787mil       1990mil  T        360.00 R11k5_0805      
R24        0805             1500mil       1095mil       1500mil       1095mil       1500mil   1144.213mil  T        270.00 R4k7_0805       
R23        0805             2105mil       1095mil       2105mil       1095mil       2105mil   1144.213mil  T        270.00 R4k7_0805       
R21        0805             2020mil       1095mil       2020mil       1095mil       2020mil   1144.213mil  T        270.00 R4k7_0805       
R12        0805             4015mil       1095mil       4015mil       1095mil       4015mil   1144.213mil  T        270.00 R22k_0805       
IC42       SOIC8        3465.091mil   1479.813mil       3465mil       1480mil   3540.091mil   1586.112mil  T        270.00 LM358D_so8     
IC41       SOIC18           3090mil       1455mil       3290mil       1635mil       3290mil       1635mil  T        270.00 PIC16F1826_soic18
IC22       SOIC8        2335.091mil   1479.813mil       2335mil       1480mil   2410.091mil   1586.112mil  T        270.00 LM358D_so8     
IC21       SOIC18           1955mil       1455mil       2155mil       1635mil       2155mil       1635mil  T        270.00 PIC16F1826_soic18
D42        SOT-23       3650.001mil       2305mil       3650mil       2305mil     3612.5mil       2265mil  T        360.00 BAV70_sot23     
D41        SMB              3630mil       1855mil       3630mil       1855mil   3549.291mil       1855mil  T        180.00 ES1B      
D21        SMB          2499.213mil       1840mil   2499.213mil       1840mil   2418.504mil       1840mil  T        180.00 ES1B      
C43        0805             3640mil       1095mil       3640mil       1095mil       3640mil   1144.213mil  T        270.00 C10n_0805      
C42        0805             3680mil       1695mil       3680mil       1695mil   3729.213mil       1695mil  T        180.00 C100n_0805     
C41        0805             3090mil       1095mil       3090mil       1095mil       3090mil   1144.213mil  T        270.00 C100n_0805     
C23        0805             2510mil       1095mil       2510mil       1095mil       2510mil   1144.213mil  T        270.00 C10n_0805     
C22        0805             2550mil       1695mil       2550mil       1695mil   2599.213mil       1695mil  T        180.00 C100n_0805     
C21        0805             1920mil       1095mil       1920mil       1095mil       1920mil   1144.213mil  T        270.00 C100n_0805      
IC5        SOP4             4265mil       1745mil       4265mil       1745mil       4315mil   1872.953mil  T        270.00 VOM617A-4T_so4   
D12        SMB              4200mil       2085mil       4200mil       2085mil       4200mil   2165.709mil  T         90.00 ES1B      
T47        SOT-23       3800.001mil       2310mil       3800mil       2310mil     3762.5mil       2270mil  T        360.00 PDTC114YT     
R22        0805             2190mil       1095mil       2190mil       1095mil       2190mil   1144.213mil  T        270.00 R4k7_0805       
D11        SMB              4330mil       2085mil       4330mil       2085mil       4330mil   2004.291mil  T        270.00 ES1B      
C14        WCAP-6.3         4015mil       1505mil       4015mil       1505mil       4015mil   1394.764mil  T        270.00 C10u_25v_D      
C13        WCAP-6.3         1565mil       1770mil       1565mil       1770mil       1565mil   1659.764mil  T        270.00 C10u_25v_D     
C11        0805             1790mil       2350mil       1790mil       2350mil       1790mil   2399.213mil  T        270.00 C100n_0805      
C12        WCAP-6.3         2800mil       1865mil       2800mil       1865mil       2800mil   1975.236mil  T         90.00 C10u_25v_D     


