2022-09-23 09:25:24,358 :: root :: CRITICAL :: 


New session, DEBUG=ON
2022-09-23 09:27:53,678 :: root :: CRITICAL :: 


New session, DEBUG=ON
2022-09-23 09:49:57,024 :: root :: CRITICAL :: 


New session, DEBUG=ON
2022-09-23 09:50:37,060 :: root :: CRITICAL :: 


New session, DEBUG=ON
2022-09-23 09:51:05,336 :: root :: CRITICAL :: 


New session, DEBUG=ON
2022-09-23 09:52:15,841 :: root :: CRITICAL :: 


New session, DEBUG=ON
2022-09-23 09:53:38,542 :: root :: CRITICAL :: 


New session, DEBUG=ON
2022-09-23 09:54:13,537 :: root :: CRITICAL :: 


New session, DEBUG=ON
2022-09-23 09:54:44,922 :: root :: CRITICAL :: 


New session, DEBUG=ON
2022-09-23 09:57:09,957 :: root :: CRITICAL :: 


New session, DEBUG=ON
2022-09-23 09:57:52,847 :: root :: CRITICAL :: 


New session, DEBUG=ON
2022-09-23 09:58:05,847 :: root :: CRITICAL :: 


New session, DEBUG=ON
2022-09-26 09:15:00,832 :: root :: CRITICAL :: 


New session, DEBUG=ON
2022-09-26 09:15:36,450 :: root :: CRITICAL :: 


New session, DEBUG=ON
2022-09-26 09:17:06,713 :: root :: CRITICAL :: 


New session, DEBUG=ON
2022-09-26 09:18:27,427 :: root :: CRITICAL :: 


New session, DEBUG=ON
2022-09-26 09:19:13,023 :: root :: CRITICAL :: 


New session, DEBUG=ON
2022-09-26 09:21:17,066 :: root :: CRITICAL :: 


New session, DEBUG=ON
2022-09-26 09:22:05,328 :: root :: CRITICAL :: 


New session, DEBUG=ON
2022-09-26 09:24:06,574 :: root :: CRITICAL :: 


New session, DEBUG=ON
2022-09-26 09:25:56,613 :: root :: CRITICAL :: 


New session, DEBUG=ON
2022-09-26 09:27:21,144 :: root :: CRITICAL :: 


New session, DEBUG=ON
2022-09-26 09:27:35,508 :: root :: CRITICAL :: 


New session, DEBUG=ON
2022-09-26 09:31:49,256 :: root :: CRITICAL :: 


New session, DEBUG=ON
2022-09-26 09:36:25,053 :: root :: CRITICAL :: 


New session, DEBUG=ON
2022-09-26 09:46:10,707 :: root :: CRITICAL :: 


New session, DEBUG=ON
2022-09-26 09:46:21,666 :: root :: CRITICAL :: 


New session, DEBUG=ON
2022-09-26 09:48:42,391 :: root :: CRITICAL :: 


New session, DEBUG=ON
2022-09-26 09:48:58,968 :: root :: CRITICAL :: 


New session, DEBUG=ON
2022-09-26 09:49:28,492 :: root :: CRITICAL :: 


New session, DEBUG=ON
2022-09-26 09:49:48,967 :: root :: CRITICAL :: 


New session, DEBUG=ON
2022-09-26 09:52:22,696 :: root :: CRITICAL :: 


New session, DEBUG=ON
2022-09-26 09:52:49,297 :: root :: CRITICAL :: 


New session, DEBUG=ON
2022-09-26 09:53:08,152 :: root :: CRITICAL :: 


New session, DEBUG=ON
2022-09-26 09:53:36,785 :: root :: CRITICAL :: 


New session, DEBUG=ON
2022-09-26 09:54:15,314 :: root :: CRITICAL :: 


New session, DEBUG=ON
